Feature Set,Model,F1-macro,F1 CI Lower,F1 CI Upper,F1 Boot Mean,F1 Boot Std,Accuracy,Acc CI Lower,Acc CI Upper,Acc Boot Mean,Acc Boot Std
B — Tex(opt),RF,0.8228,0.7786,0.8651,0.8227,0.0221,0.8233,0.78,0.8667,0.824,0.0222
B — Tex(opt),ExtraTrees,0.8192,0.7761,0.8599,0.8188,0.0221,0.82,0.7767,0.86,0.8204,0.0221
B+C(opt),RF,0.8163,0.7722,0.8579,0.8157,0.0223,0.8167,0.7733,0.86,0.8167,0.0224
D — HOG,LR,0.8136,0.7668,0.8564,0.8133,0.0226,0.8133,0.7667,0.8567,0.8137,0.0226
A+B+C(opt),MLP,0.8099,0.7645,0.8511,0.8092,0.0228,0.81,0.7667,0.8533,0.8101,0.0228
A+B,KNN,0.8093,0.7637,0.8542,0.8094,0.0226,0.81,0.7633,0.8533,0.8108,0.0227
B+C(opt),MLP,0.8079,0.7638,0.8497,0.807,0.0223,0.8067,0.7633,0.85,0.8066,0.0225
A+B,LR,0.8059,0.7607,0.85,0.8049,0.0225,0.8067,0.7633,0.85,0.8064,0.0226
B — Tex(opt),MLP,0.8043,0.759,0.8478,0.8044,0.0226,0.8033,0.76,0.85,0.8042,0.0227
B — Tex(opt),SVM,0.8001,0.7548,0.8433,0.7996,0.0228,0.8,0.7533,0.8433,0.8003,0.023
B+C(opt),LR,0.7961,0.7469,0.84,0.7948,0.0237,0.7967,0.75,0.8401,0.7961,0.0237
A+B+C(opt),LR,0.7925,0.7449,0.8378,0.7915,0.0236,0.7933,0.7433,0.84,0.7931,0.0237
B — Tex(opt),LR,0.7871,0.7402,0.8312,0.7862,0.0234,0.7867,0.74,0.8333,0.7866,0.0234
A — Stats,SVM,0.7867,0.7394,0.8325,0.7852,0.0236,0.7867,0.74,0.8333,0.786,0.0239
B+C(opt),KNN,0.7834,0.7355,0.8289,0.7829,0.0242,0.7867,0.74,0.8333,0.7869,0.0242
A — Stats,ExtraTrees,0.7828,0.7353,0.8268,0.781,0.0232,0.7833,0.7367,0.8267,0.7824,0.0234
A — Stats,LR,0.777,0.7269,0.8222,0.7758,0.0241,0.7767,0.7267,0.8233,0.7763,0.0245
A+B+C(opt),KNN,0.7705,0.7216,0.8177,0.77,0.0245,0.77,0.72,0.82,0.7703,0.0248
A — Stats,XGBoost,0.7693,0.7199,0.8126,0.7674,0.0241,0.77,0.7167,0.8133,0.769,0.0243
A — Stats,RF,0.764,0.7144,0.8075,0.7622,0.0238,0.7633,0.7133,0.8067,0.7624,0.0241
C — DWT(opt),ExtraTrees,0.76,0.7128,0.8088,0.7596,0.0249,0.7633,0.7167,0.8133,0.7638,0.0248
A — Stats,MLP,0.7579,0.7074,0.8042,0.7565,0.0245,0.76,0.71,0.8067,0.7595,0.0246
C — DWT(opt),RF,0.754,0.7027,0.8036,0.7535,0.0252,0.7567,0.7067,0.8067,0.7571,0.0251
B — Tex(opt),KNN,0.7482,0.6985,0.7974,0.7476,0.0254,0.75,0.7,0.8,0.7504,0.0256
A — Stats,KNN,0.7427,0.6927,0.7928,0.7414,0.0249,0.74,0.69,0.7901,0.7396,0.0253
A — Stats,LightGBM,0.7394,0.6905,0.7888,0.7379,0.0248,0.74,0.69,0.79,0.7394,0.0252
C — DWT(opt),XGBoost,0.7213,0.6699,0.7688,0.7205,0.0254,0.7233,0.6733,0.7733,0.7235,0.0255
C — DWT(opt),LightGBM,0.7144,0.6615,0.7645,0.714,0.0258,0.7167,0.6633,0.7667,0.7173,0.0258
C — DWT(opt),SVM,0.7031,0.6516,0.7524,0.7021,0.026,0.7033,0.6533,0.7533,0.7035,0.026
C — DWT(opt),LR,0.694,0.6395,0.7456,0.6929,0.0268,0.6967,0.6433,0.7467,0.6966,0.0268
C — DWT(opt),KNN,0.6932,0.6401,0.7448,0.6924,0.0264,0.7,0.6467,0.7501,0.7002,0.0262
C — DWT(opt),MLP,0.6919,0.6371,0.7433,0.6908,0.0264,0.6967,0.6433,0.7467,0.6966,0.0264
