phase1_run_id,input_fingerprint,outcome_hash,saved_at_utc,distances,n_distances,angles,n_angles,levels,symmetric,n_features,label,FDR,MI,DBI,FDR_n,MI_n,DBI_n,score
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2, 4]",3,[0],1,256,False,6,"d=[1, 2, 4] a=1ang l=256 sym=False",0.29291059303729017,0.2045997059172835,5.191854639831529,0.664857381346697,0.9283697997275728,0.19129617785958564,0.5948411196446185
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2, 4]",3,[0],1,256,True,6,"d=[1, 2, 4] a=1ang l=256 sym=True",0.2930694679900259,0.20444188300491425,5.191829159467304,0.6657603246586031,0.9262157133809523,0.19130857898058062,0.5944282056733786
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.785, 1.571, 2.356]",4,64,False,6,d=[1] a=4ang l=64 sym=False,0.30844283990912563,0.17948107269012184,4.720904494274689,0.7531327085162728,0.5855317157755355,0.4205044295895166,0.5863896179604416
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.785, 1.571, 2.356]",4,64,True,6,d=[1] a=4ang l=64 sym=True,0.30848667637482724,0.17865227772952785,4.720881432744747,0.7533818468659074,0.5742196959809276,0.42051565348021924,0.5827057321090181
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[2, 4]",2,[0],1,64,False,6,"d=[2, 4] a=1ang l=64 sym=False",0.2971163267425049,0.17581530879559235,4.603075411901769,0.6887600737182139,0.5354986005795197,0.4778510473333246,0.5673699072103527
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[2, 4]",2,[0],1,256,False,6,"d=[2, 4] a=1ang l=256 sym=False",0.27701353311176297,0.19420829846629614,4.901953089245246,0.5745086908101787,0.7865400199046368,0.3323893024940663,0.564479337736294
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[2, 4]",2,[0],1,64,True,6,"d=[2, 4] a=1ang l=64 sym=True",0.2970101816010993,0.1751877840157913,4.603761282157567,0.6881568128273491,0.5269336682763253,0.4775172389170237,0.5642025733402326
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[2, 4]",2,[0],1,256,True,6,"d=[2, 4] a=1ang l=256 sym=True",0.27712994518331,0.1937725959467531,4.901912891943199,0.575170302345657,0.7805932227352874,0.3324088662491973,0.5627241304433807
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.785, 1.571, 2.356]",4,256,True,6,d=[1] a=4ang l=256 sym=True,0.2779714171305158,0.19352800103494708,4.909618570261433,0.579952689083168,0.7772548065822413,0.3286585647101088,0.5619553534585061
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.785, 1.571, 2.356]",4,128,True,6,d=[1] a=4ang l=128 sym=True,0.2987208910749125,0.17998793918795908,4.799218793891287,0.6978793880438675,0.5924498126865607,0.38238938945219925,0.5575728633942091
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.785, 1.571, 2.356]",4,128,False,6,d=[1] a=4ang l=128 sym=False,0.2986616812579999,0.17901377466505117,4.79901985761481,0.6975428774280669,0.5791536792756611,0.3824862103929445,0.5530609223655575
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.785, 1.571, 2.356]",4,256,False,6,d=[1] a=4ang l=256 sym=False,0.27776186837610933,0.19136820487287406,4.909914577341231,0.5787617483901798,0.7477762767898086,0.3285145000656864,0.5516841750818916
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,[0],1,256,True,6,"d=[1, 2] a=1ang l=256 sym=True",0.30421905518938347,0.20378502895576886,5.584525093917089,0.7291274257580395,0.9172504730508522,0.00018612271663309699,0.5488546738418415
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.524, 1.047, 1.571, 2.094, 2.618]",6,64,False,6,d=[1] a=6ang l=64 sym=False,0.29873046230471995,0.17623801295837835,4.77635364847151,0.6979337847740791,0.5412679863553109,0.39351770113585083,0.5442398240884136
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 0.524, 1.047, 1.571, 2.094, 2.618]",6,64,True,6,d=[1] a=6ang l=64 sym=True,0.2987702933110258,0.1759636709527789,4.776308575868581,0.6981601586620397,0.5375235593916032,0.3935396376669589,0.5430744519068673
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,"[0, 0.785, 1.571, 2.356]",4,64,False,6,"d=[1, 2] a=4ang l=64 sym=False",0.2979876433247816,0.1773792148107467,4.8087056459885575,0.6937120782159166,0.5568439714389821,0.37777220267743994,0.5427760841107796
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,"[0, 0.785, 1.571, 2.356]",4,64,True,6,"d=[1, 2] a=4ang l=64 sym=True",0.2980081577477692,0.1766378557485214,4.808787312110552,0.6938286690360255,0.5467253428450125,0.3777324563280131,0.5394288227363503
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,[0],1,256,False,6,"d=[1, 2] a=1ang l=256 sym=False",0.30398808723049514,0.20178677915318569,5.584907516974847,0.7278147520473527,0.8899768500244865,0.0,0.5392638673572797
